"Fisktegund";"Löndunarhöfn";"2024 Alls";"2024 janúar";"2024 febrúar";"2024 mars";"2024 apríl";"2024 maí";"2024 júní";"2024 júlí";"2024 ágúst";"2024 september";"2024 október";"2024 nóvember";"2024 desember";"2023 Alls";"2023 janúar";"2023 febrúar";"2023 mars";"2023 apríl";"2023 maí";"2023 júní";"2023 júlí";"2023 ágúst";"2023 september";"2023 október";"2023 nóvember";"2023 desember";"2022 Alls";"2022 janúar";"2022 febrúar";"2022 mars";"2022 apríl";"2022 maí";"2022 júní";"2022 júlí";"2022 ágúst";"2022 september";"2022 október";"2022 nóvember";"2022 desember";"2021 Alls";"2021 janúar";"2021 febrúar";"2021 mars";"2021 apríl";"2021 maí";"2021 júní";"2021 júlí";"2021 ágúst";"2021 september";"2021 október";"2021 nóvember";"2021 desember";"2020 Alls";"2020 janúar";"2020 febrúar";"2020 mars";"2020 apríl";"2020 maí";"2020 júní";"2020 júlí";"2020 ágúst";"2020 september";"2020 október";"2020 nóvember";"2020 desember";"2019 Alls";"2019 janúar";"2019 febrúar";"2019 mars";"2019 apríl";"2019 maí";"2019 júní";"2019 júlí";"2019 ágúst";"2019 september";"2019 október";"2019 nóvember";"2019 desember";"2018 Alls";"2018 janúar";"2018 febrúar";"2018 mars";"2018 apríl";"2018 maí";"2018 júní";"2018 júlí";"2018 ágúst";"2018 september";"2018 október";"2018 nóvember";"2018 desember";"2017 Alls";"2017 janúar";"2017 febrúar";"2017 mars";"2017 apríl";"2017 maí";"2017 júní";"2017 júlí";"2017 ágúst";"2017 september";"2017 október";"2017 nóvember";"2017 desember";"2016 Alls";"2016 janúar";"2016 febrúar";"2016 mars";"2016 apríl";"2016 maí";"2016 júní";"2016 júlí";"2016 ágúst";"2016 september";"2016 október";"2016 nóvember";"2016 desember";"2015 Alls";"2015 janúar";"2015 febrúar";"2015 mars";"2015 apríl";"2015 maí";"2015 júní";"2015 júlí";"2015 ágúst";"2015 september";"2015 október";"2015 nóvember";"2015 desember";"2014 Alls";"2014 janúar";"2014 febrúar";"2014 mars";"2014 apríl";"2014 maí";"2014 júní";"2014 júlí";"2014 ágúst";"2014 september";"2014 október";"2014 nóvember";"2014 desember";"2013 Alls";"2013 janúar";"2013 febrúar";"2013 mars";"2013 apríl";"2013 maí";"2013 júní";"2013 júlí";"2013 ágúst";"2013 september";"2013 október";"2013 nóvember";"2013 desember";"2012 Alls";"2012 janúar";"2012 febrúar";"2012 mars";"2012 apríl";"2012 maí";"2012 júní";"2012 júlí";"2012 ágúst";"2012 september";"2012 október";"2012 nóvember";"2012 desember";"2011 Alls";"2011 janúar";"2011 febrúar";"2011 mars";"2011 apríl";"2011 maí";"2011 júní";"2011 júlí";"2011 ágúst";"2011 september";"2011 október";"2011 nóvember";"2011 desember";"2010 Alls";"2010 janúar";"2010 febrúar";"2010 mars";"2010 apríl";"2010 maí";"2010 júní";"2010 júlí";"2010 ágúst";"2010 september";"2010 október";"2010 nóvember";"2010 desember"
"Steinbítur";"Önnur löndun";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;280;..;36;..;..;52;..;..;192;..;..;..;..;1711;..;..;..;1092;..;..;619;..;..;..;..;..;886;..;..;130;..;..;72;487;197;..;..;..;..;2585;..;..;1255;196;618;181;61;274;..;..;..;..;2621;..;..;..;61;..;27;2533;0;..;..;..;..;402;74;200;..;..;0;70;..;58;..;..;..;..;343;189;0;111;0;..;..;..;43;..;..;..;..;3062;..;0;0;38;706;139;99;1000;..;1080;..;..;2688;111;682;222;1471;176;26;..;..;..;..;..;..;183358;36205;24801;6815;1267;41991;36849;20280;15150;..;..;..;..;319655;51892;38598;12374;7383;34544;27249;23443;56260;15032;3825;34188;14867;701684;66747;119970;42426;8166;47793;27787;44966;179887;76513;8071;57960;21398;937253;174219;124509;34228;15537;67984;69694;52903;63018;113579;111631;88793;21158
"Steinbítur";"Flutningaskip";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Steinbítur";"Gámur/Sigling";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;182871;36125;24801;6815;1267;41920;36546;20247;15150;..;..;..;..;317473;51092;38598;12272;6986;34513;27219;22920;56260;14786;3772;34188;14867;701046;66747;119970;42426;7989;47546;27573;44966;179887;76513;8071;57960;21398;936875;174031;124509;34228;15433;67921;69694;52908;62990;113579;111631;88793;21158
"Steinbítur";"Ótilgreint";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;280;..;36;..;..;52;..;..;192;..;..;..;..;1711;..;..;..;1092;..;..;619;..;..;..;..;..;886;..;..;130;..;..;72;487;197;..;..;..;..;2585;..;..;1255;196;618;181;61;274;..;..;..;..;2621;..;..;..;61;..;27;2533;0;..;..;..;..;402;74;200;..;..;0;70;..;58;..;..;..;..;343;189;0;111;0;..;..;..;43;..;..;..;..;3062;..;0;0;38;706;139;99;1000;..;1080;..;..;2688;111;682;222;1471;176;26;..;..;..;..;..;..;487;80;0;..;0;71;303;33;0;..;..;..;..;2182;800;0;102;397;31;30;523;0;246;53;..;..;638;..;0;..;177;247;214;0;0;..;..;0;..;378;188;..;0;104;63;0;-5;28;..;..;..;..
"Hlýri";"Allar löndunartegundir";776389;41427;42763;44894;45356;82771;77420;64664;62631;95427;105561;79388;34087;640538;38309;35558;30135;34408;63829;70094;38116;44826;52728;100902;92414;39219;784537;47453;49982;33330;31891;112229;92571;35744;67826;106758;84159;70860;51734;1313690;75422;69498;67130;63978;97403;158889;205584;114467;140153;96788;115577;108801;1324655;50707;78287;56038;40703;82093;227001;102873;160104;157320;162457;148064;59008;1403023;73719;68877;48088;126169;112693;175613;169034;131290;168946;139773;125928;62893;1390704;62586;44101;56633;83121;166940;234009;127673;131830;141905;163325;109340;69241;1455864;6566;14390;82074;63943;136477;169459;140989;177294;199558;205770;162164;97180;1776816;95149;56527;63960;108887;156874;199985;114851;170762;294210;256503;168637;90471;1774493;101534;65058;77960;60456;134238;128264;140951;108121;310179;317405;233865;96462;1994639;84970;58861;150020;132478;171481;190705;157327;170949;262591;297967;191004;126286;2431835;94939;145535;134519;224978;171579;164301;147907;146067;366996;399388;274753;160873;1977201;81313;93851;101767;144960;179507;222801;123740;182881;274895;322408;134877;114201;1654105;64377;77770;104630;83201;89598;142165;144789;136789;241926;246130;224195;98535;1921829;71672;95639;101587;110797;95800;119010;182389;247628;306275;291815;203422;95795
"Hlýri";"Akranes";37;..;28;..;9;0;..;..;..;..;..;..;..;18;8;..;..;..;10;..;..;..;..;..;..;..;4;..;..;4;..;..;..;..;..;..;..;..;..;20;..;12;..;8;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20;6;..;..;..;14;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6;..;..;6;..;..;..;..;..;..;..;..;..;22;..;13;..;..;9;..;..;..;..;..;..;..;10;..;..;10;..;..;..;..;..;..;..;..;..;2069;3;1188;..;6;..;868;..;..;..;..;4;..;33;11;10;..;8;4;..;..;..;..;..;..;..;6;..;6;..;..;..;..;..;..;..;..;..;..;38;11;27;..;..;..;..;..;..;..;..;..;..;24;..;15;..;9;..;..;..;..;..;..;..;..
"Hlýri";"Akureyri";53272;5822;3202;6249;1328;2348;10592;3091;3732;7045;6810;2170;883;52538;5834;5349;2364;970;9654;2043;4211;5273;2942;4753;5274;3871;42100;5549;5088;6462;91;6043;2541;2342;1515;2321;1251;3007;5890;44703;7385;1231;3079;6210;1619;1516;2229;3629;4099;2581;3639;7486;64839;4423;6127;8209;5869;4016;9224;3272;8013;4727;1413;5094;4452;43347;5612;4964;2187;7853;2526;2337;2679;3953;3980;2521;2642;2093;54088;4354;1760;3486;1498;13562;3633;12376;693;4007;1962;1438;5319;46725;..;275;1378;4860;4894;12604;1583;4644;5461;2844;4400;3782;69419;2120;1637;6952;3402;6082;866;4628;8386;7584;3773;14138;9851;63609;3149;7263;61;185;1500;4072;16111;7128;5217;6793;5706;6424;64208;4435;3759;1190;3098;6152;7468;3727;4510;3875;13186;4745;8063;58320;5281;8347;1245;4938;5536;1752;4101;1873;4009;13312;2693;5233;47710;6255;3495;587;..;4176;2619;7897;4959;4753;6636;2876;3457;68521;1646;5051;2976;3739;2348;5128;15883;2390;5692;6738;7984;8946;58559;3272;3124;5066;2629;1951;3023;1958;12893;1511;7223;10230;5679
"Hlýri";"Arnarstapi";32;..;10;18;..;..;..;..;4;..;..;..;..;212;..;..;29;14;..;..;..;..;7;37;125;..;177;..;..;56;51;6;..;..;..;..;64;..;..;11;3;..;..;6;..;..;..;..;..;2;..;..;24;..;..;..;18;..;..;..;..;..;..;..;6;12;..;..;12;..;..;..;..;..;..;..;..;..;101;12;..;85;..;4;..;..;..;..;..;..;..;59;0;28;19;12;..;..;..;..;..;..;..;..;114;8;..;14;80;..;..;..;..;..;..;12;..;161;..;17;..;16;31;..;..;..;97;..;..;..;264;33;7;59;27;87;..;..;..;10;35;6;..;275;20;6;42;13;..;..;..;..;6;163;8;17;16;..;..;..;6;..;..;..;..;..;..;..;10;147;9;39;..;..;79;..;..;20;..;..;..;..;36;6;3;..;..;..;..;..;..;15;9;..;3
"Hlýri";"Árskógsströnd";5947;264;1455;314;423;1110;495;..;572;439;751;79;45;5469;137;461;790;617;131;627;..;971;594;594;261;286;7180;40;268;291;870;1095;2210;436;804;691;195;247;33;7899;235;1188;1435;450;1863;727;523;521;561;225;87;84;3370;108;269;..;14;48;59;..;..;164;2125;414;169;2650;260;125;637;139;555;..;52;358;323;25;160;16;8667;116;218;259;..;1353;1985;3018;377;1151;92;73;25;2827;830;163;562;92;..;..;..;444;323;324;46;43;3979;222;184;21;180;..;48;..;1313;1251;435;223;102;3789;134;27;115;67;110;20;..;604;1584;707;157;264;15712;246;117;918;10;2795;3433;2540;1736;2297;972;493;155;16950;766;914;1287;513;1695;1645;3483;3142;719;2071;625;90;12228;50;1604;861;8;1056;2976;2331;525;388;945;891;593;13134;145;888;1306;813;2153;1908;1852;1824;892;453;875;25;16991;754;579;492;775;3189;4433;3469;1012;1048;689;455;96
"Hlýri";"Bakkafjörður";2751;444;1172;406;36;..;..;..;..;..;249;421;23;280;228;12;..;17;3;..;..;..;..;..;..;20;4955;237;..;23;253;..;548;..;2235;1659;0;..;..;13003;..;219;..;230;2381;1537;3942;3917;303;91;78;305;12506;3;11;92;111;2531;4054;1217;2841;820;744;8;74;7592;99;57;230;895;1394;2628;708;300;147;356;613;165;10580;226;97;60;281;2196;3452;2196;628;708;273;383;80;19815;142;104;291;966;6467;5586;4765;721;412;181;125;55;18613;232;139;422;193;2343;5692;5114;3182;835;272;155;34;7934;99;173;67;142;541;1474;2784;1253;631;403;361;6;6875;231;20;115;14;152;105;2225;2235;754;824;181;19;3292;22;41;..;119;61;335;293;734;290;1033;221;143;674;..;59;92;87;..;85;115;61;..;69;77;29;1878;..;7;118;218;187;486;171;621;..;70;..;..;2093;50;281;150;165;35;113;531;527;..;15;218;8
"Hlýri";"Bíldudalur";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6;..;..;..;..;..;..;..;..;..;..;6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16;..;..;..;..;..;..;..;..;..;..;..;16;..;..;..;..;..;..;..;..;..;..;..;..;..;179;..;..;179;..;..;..;..;..;..;..;..;..;767;..;..;767;..;..;..;..;..;..;..;..;..;20;..;..;..;..;..;..;..;..;..;..;20;..;12;6;6;..;..;..;..;..;..;..;..;..;..;23;8;..;13;..;..;..;..;..;..;..;2;..;19;..;..;19;..;..;..;..;..;..;..;..;..
"Hlýri";"Blönduós";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hlýri";"Bolungarvík";48276;2357;2664;1669;10261;7261;4966;16;3240;3019;4399;5240;3184;28841;3286;2085;1049;4769;6900;4414;807;761;749;945;1948;1128;37106;2155;2135;2048;2682;8374;5774;372;3426;3527;2467;1808;2338;47401;2603;2319;3850;2174;10917;10810;2238;1651;1359;1939;3770;3771;48093;1719;4375;2684;1630;8061;7813;6268;3548;2614;3822;4241;1318;48028;2580;1731;2212;5599;5381;7891;5562;2093;6273;3087;3567;2052;42316;1665;1907;4931;4562;4040;4157;1815;1093;2225;3312;8694;3915;44117;396;2516;5243;4188;5887;6885;4278;2570;2135;2184;4775;3060;40579;1985;1465;2397;3328;9645;9178;1964;2643;2415;2869;1821;869;79009;2761;1147;5035;9020;14034;11216;902;5774;10872;9739;6954;1555;78884;1394;987;11240;10801;7631;8726;3310;3296;5952;10551;11506;3490;97172;2305;7760;5114;15776;13520;18546;5894;3215;6474;8667;8206;1695;67027;2152;1780;11149;6378;7046;7522;3618;2505;4558;13427;3490;3402;79951;3415;2450;3366;6558;5627;11305;9549;13073;10017;3468;8888;2235;67381;2479;2400;1286;1484;5311;5618;18590;6739;4810;7056;7710;3898
"Hlýri";"Borgarfjörður Eystri";3242;176;116;318;310;386;366;83;60;218;997;117;95;2215;37;142;108;210;426;239;242;229;135;184;163;100;2245;6;22;232;355;406;571;77;88;104;178;83;123;898;..;115;286;34;194;70;17;18;51;48;40;25;898;3;117;85;59;20;238;76;164;17;81;6;32;978;42;174;12;33;73;253;178;44;25;122;22;..;1708;73;11;50;49;213;557;214;75;127;79;260;..;1343;41;74;32;4;37;676;180;94;86;93;26;..;1273;58;31;103;19;274;372;137;153;71;37;3;15;3038;31;18;29;50;231;1030;535;171;490;300;146;7;4331;8;13;83;1056;904;1196;429;363;98;159;22;..;6107;21;55;412;632;627;1123;1405;896;640;233;33;30;3014;51;36;8;..;594;1156;317;337;265;171;39;40;4321;40;103;19;..;907;574;388;373;1100;189;593;35;6841;76;64;41;..;96;1295;1058;1648;987;1117;384;75
"Hlýri";"Breiðdalsvík";473;..;..;7;39;4;..;247;36;140;..;..;..;2751;..;..;..;..;..;2381;234;65;24;34;13;..;3809;..;16;51;19;2567;421;223;427;64;..;21;..;6597;..;16;..;67;1147;2641;850;476;692;210;243;255;4407;..;..;..;18;798;1385;1340;557;..;309;..;..;5863;..;..;..;41;1302;2026;1411;107;464;313;187;12;6560;24;20;28;16;495;2780;2927;115;128;27;..;..;4430;16;82;108;129;1965;1272;80;436;..;334;6;2;7447;..;280;447;212;794;3113;169;1909;..;187;320;16;8326;3;11;386;47;514;3234;467;694;881;1428;653;8;18256;12;..;1542;2284;3942;3995;307;640;3858;1553;123;..;19645;10;6;1435;1103;1750;3724;..;960;8522;2125;10;..;21896;20;50;145;316;..;6441;2586;3191;3530;5364;225;28;35912;8;385;363;899;3842;6108;2566;4263;5570;5598;5854;456;21310;..;..;8;25;2775;5372;..;7060;5459;410;201;..
"Hlýri";"Brjánslækur";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hlýri";"Búðardalur";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hlýri";"Dalvík";47937;1424;2619;5165;4853;9768;4795;4925;4219;2804;4071;2082;1212;28225;3104;1893;99;510;2356;4065;226;1495;3197;4124;5252;1904;32695;1948;2456;1262;664;3703;3117;1482;4916;5734;2628;2213;2572;39108;5569;3197;1031;2572;996;1724;1964;3568;3496;3255;5393;6343;49296;2577;3944;5125;1516;1461;4756;4765;1571;9535;4098;4717;5231;32514;3901;4459;2890;3236;1981;2384;2208;2171;3158;1883;2877;1366;74443;7820;4101;4887;4679;16938;4671;3617;6301;7698;5608;4237;3886;63374;241;738;6047;3280;9016;10422;2380;5081;9206;7273;6302;3388;110450;7142;4380;1480;2692;9637;6000;5850;4895;35445;24090;7687;1152;90716;3875;5316;8596;1678;3703;2207;1699;2402;30850;21949;4659;3782;149529;8599;2443;8987;6648;5907;13198;5787;161;21274;56692;13540;6293;109893;3484;5191;6605;770;6853;3423;3627;12613;10815;22790;23954;9768;84589;1952;4192;7149;2498;4904;5429;1246;11678;21755;10363;10717;2706;75985;3978;6327;9751;3778;1260;2752;701;541;9619;24707;9467;3104;74881;3468;2880;5095;2226;1854;6792;2700;5654;17528;13911;8032;4741
"Hlýri";"Djúpivogur";17588;..;..;..;143;223;..;67;1659;12377;1938;1181;..;26952;311;388;56;185;418;4398;17;1583;4688;14668;216;24;6235;329;213;174;1930;156;1437;..;1061;69;255;546;65;17352;50;238;101;50;119;9309;4422;23;58;826;489;1667;80774;1279;141;30;260;695;14054;636;12367;17611;19034;9824;4843;65391;1253;44;60;202;581;84;14853;12922;5252;10659;9494;9987;22816;10;40;25;84;582;2549;149;10398;400;480;6226;1873;95442;..;16;64;11;2353;4678;865;31144;42589;12531;1172;19;39034;4243;59;87;456;5102;7366;1160;1414;16284;385;2468;10;47455;..;12;26;83;20;1368;5146;15049;13776;3326;3813;4836;142333;3234;..;23;92;1477;14010;3702;10959;66808;23880;14991;3157;148853;1957;103;1877;11692;6873;11601;7142;17801;58970;25156;3372;2309;69484;10398;442;6;479;1520;3784;3140;4258;18121;12247;11544;3545;54635;3900;450;8035;..;538;1024;2094;5485;22180;6096;2572;2261;64332;5435;3117;304;..;292;571;58;12383;20723;2036;12020;7393
"Hlýri";"Drangsnes";412;11;20;..;..;..;..;..;125;162;87;..;7;383;18;..;81;..;6;245;..;..;..;26;3;4;651;33;18;16;78;101;27;6;180;106;74;6;6;746;..;108;39;15;82;57;366;53;4;..;16;6;2144;..;44;26;..;424;943;226;155;122;122;39;43;776;65;30;6;..;30;204;43;140;157;76;25;..;905;26;42;26;20;228;356;74;35;24;43;31;..;602;45;75;94;18;115;96;28;45;41;29;16;..;439;10;16;..;25;47;54;26;51;42;108;39;21;770;98;69;108;61;180;83;16;11;16;70;58;..;4358;102;88;304;618;2887;220;12;..;..;85;37;5;2692;58;141;382;32;1095;359;433;46;13;74;51;8;6982;15;47;24;11;2802;2513;1147;121;129;85;26;62;793;25;34;87;173;14;72;17;195;60;47;35;34;468;69;17;36;8;4;37;101;134;19;28;8;7
"Hlýri";"Eskifjörður";1413;300;..;0;..;..;..;..;3;340;570;163;37;2388;..;142;..;..;..;..;..;..;686;603;379;578;1529;82;..;389;..;7;..;0;..;0;748;303;..;1668;42;1044;..;..;..;24;37;..;..;13;..;508;8225;1503;1588;215;301;..;..;205;405;677;2719;423;189;4980;471;..;372;..;16;68;369;393;361;1439;939;552;2960;90;145;80;..;..;42;..;49;614;752;1007;181;3486;..;..;374;..;..;..;4;..;538;2523;47;..;6155;439;577;252;..;56;96;340;1078;984;928;1379;26;6938;152;541;85;..;8;72;6;55;1718;3767;207;327;18435;230;1532;338;1142;90;3037;245;172;1617;7441;2429;162;10832;..;28;340;99;701;52;222;410;7017;595;1065;303;30627;1930;349;659;..;89;658;175;189;16552;7063;2963;..;12236;976;161;8;9;784;421;560;..;397;5453;3451;16;6205;1439;154;1241;404;9;..;..;..;482;1035;1437;4
"Hlýri";"Fáskrúðsfjörður";11572;1236;714;286;697;839;1301;1268;1466;968;1871;465;461;6952;590;545;485;533;517;216;667;..;667;1834;347;551;9683;689;857;45;259;545;1277;501;1314;1288;1785;851;272;5791;360;673;332;22;549;825;741;123;397;1091;416;262;9530;814;693;834;438;448;1372;689;290;444;553;1052;1903;5341;540;1388;314;391;646;237;317;..;119;373;548;468;7101;950;350;..;72;563;903;348;271;289;7;2831;517;9003;..;59;676;342;668;2863;2752;119;351;416;496;261;4993;272;69;171;185;703;854;1414;..;..;437;449;439;4439;791;..;46;167;379;965;904;..;194;339;468;186;3484;245;551;599;353;442;359;411;..;206;44;37;237;5985;602;974;210;716;466;474;593;..;197;933;618;202;7024;2227;389;43;615;319;175;..;..;1018;1254;757;227;7156;1946;255;448;1320;271;190;..;68;546;834;1115;163;15961;1601;751;651;1222;325;483;92;677;1547;4532;3742;338
"Hlýri";"Flateyri";..;..;..;..;..;..;..;..;..;..;..;..;..;369;..;37;53;279;..;..;..;..;..;..;..;..;570;39;147;..;240;144;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6754;..;..;..;..;2927;1560;944;1026;..;..;104;193;152;45;..;4;29;45;23;..;..;..;..;6;..;441;5;..;55;53;188;19;..;..;9;..;..;112;714;47;173;160;32;66;..;..;..;..;224;..;12;1279;85;227;161;35;616;128;17;10;..;..;..;..;1697;19;92;..;139;589;589;24;66;73;106;..;..;3973;134;54;1372;227;621;1110;270;..;..;..;179;6;4149;12;49;10;..;124;2106;1396;30;..;32;23;367;6314;119;27;75;80;1780;3089;1015;119;10;..;..;..;1073;7;32;649;34;76;162;41;..;28;7;14;23;858;93;36;8;..;71;568;63;..;10;..;..;9
"Hlýri";"Gjögur";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hlýri";"Grenivík";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16;..;..;6;10;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12;..;..;12;..;..;..;..;..;..;..;..;..;26;..;..;26;..;..;..;..;..;..;..;..;..;66;..;..;13;53;..;..;..;..;..;..;..;..;21;..;..;13;8;..;..;..;..;..;..;..;..;162;..;..;2;70;..;..;..;..;90;..;..;..;501;..;..;..;19;..;..;..;..;..;..;482;..;2018;54;703;59;..;706;..;..;..;..;..;496;..;2538;..;..;209;975;..;1354;..;..;..;..;..;..;4122;3;43;227;..;3717;132;..;..;..;..;..;..
"Hlýri";"Grímsey";49;..;14;..;..;..;16;..;19;..;..;..;..;8;..;..;..;8;..;..;..;..;..;..;..;..;60;..;..;7;..;37;16;..;..;..;..;..;..;230;..;..;..;..;168;33;17;..;12;..;..;..;629;..;..;..;12;..;174;348;70;..;25;..;..;1075;46;49;92;27;8;463;326;25;39;..;..;..;2398;154;85;185;137;286;624;707;220;..;..;..;..;4643;213;205;220;52;598;1735;1556;60;..;..;..;4;5705;203;377;598;390;278;1321;1127;1208;127;43;25;8;9241;890;71;526;219;483;2182;1747;485;948;1098;321;271;6928;343;262;1070;366;794;591;383;765;1030;520;707;97;15719;1175;2730;1585;1333;1211;2054;1665;612;1194;1371;445;344;9509;555;1086;1350;425;1547;1995;594;23;225;713;712;284;11992;290;826;671;454;1083;1940;2045;2005;223;716;1716;23;11776;1051;1266;1876;336;691;1374;183;1785;1487;788;793;146
"Hlýri";"Grindavík";22123;..;..;..;1459;61;1565;5247;2137;750;5811;4012;1081;18875;2652;980;1841;2333;2960;851;2916;2066;344;1426;386;120;32373;533;1746;268;1047;9908;5421;899;5146;2528;2047;1615;1215;78296;6606;3381;1871;8235;9640;10836;21012;4545;1684;3972;3063;3451;55689;1533;4377;6609;2829;3757;23007;37;3806;1991;2134;4276;1333;153130;4252;2819;2113;41636;9088;51731;28911;2819;963;2204;2122;4472;125639;4483;803;1463;6914;34202;67870;1658;692;2242;2049;1427;1836;97834;..;420;5771;1556;10832;11930;28445;1602;2316;2682;8141;24139;121091;8212;3020;2799;7539;19055;52836;3160;3543;933;612;12098;7284;120370;17802;3180;3849;8598;10337;15087;1357;3755;6033;14352;29418;6602;122463;5066;5757;9753;3068;9811;11630;28275;21759;4185;4916;8603;9640;125235;11555;7987;18283;9251;7147;6169;9664;10559;16891;8746;4558;14425;141135;7865;5669;9674;11135;13227;12650;5062;8294;17715;33525;8554;7765;160543;5442;4995;17662;4490;2759;5010;17912;3823;30964;27331;30497;9658;117636;3878;10464;10185;7431;2431;3151;23964;17486;8212;13834;8720;7880
