Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Grímsey;23684;67055;37820;14263;100710;183753;241425;47043;26202;..;..;..;22728;47551;29419;7798;74667;154879;185449;45494;6938;6494;2739;387;11252;148084;35756;17148;25785;169049;134303;46138;6586;30407;46189;50196;45394;69659;34747;8740;60870;112055;118916;62666;21034;40494;13161;39156;35203;129828;104189;12431;55693;188245;194988;95870;52651;19620;13596;20560;13959;58004;79581;12275;60728;207934;160244;161344;26011;88890;23460;17447;99463;207838;276564;20026;93305;247223;159226;100713;18102;10666;16114;310;124109;289684;413003;19676;195383;240402;197314;159693;86178;21562;22593;30883;100215;298170;254982;7327;173808;296605;136198;48304;30596;68662;84435;92058;113439;183442;256804;37156;60764;350924;206312;104023;38031;28003;20605;19825;91841;135849;166428;70682;111313;367938;198175;88949;71876;110819;80194;44061;119367;192579;179929;126146;189644;254927;132182;159053;64967;95409;195800;27964;152858;447908;194915;91647;164033;329309;155200;100693;111327;145092;96355;59752;135737;294055;151058;98102;164313;313381;283099;32908;52601;167675;110079;100777;60525;192096;243449;58301;133690;273505;325308;216233;55004;33035;119327;18698;152157;174118;174272;62128;181223;271341;149290;98234;50224;74857;63081;30027
;Grindavík;1111092;1002261;2010903;2264833;2116730;542636;1048891;1069303;572521;..;..;..;168489;147641;227767;2040096;469768;167208;544633;430623;377914;876015;592428;483772;1787152;1248747;3519347;2866399;1849536;696552;288102;778546;706826;606540;223392;79207;936534;2602383;4057095;4623556;2925960;794055;183001;974450;646880;902547;938702;1748952;2767986;4030977;4535891;4913690;5022423;1403191;780617;656755;720910;782675;496274;1125527;1035518;4334039;4562276;3941116;4613237;1687863;585196;1277296;758876;788709;949984;1163661;2672598;2992025;3496313;3231774;3906323;1313166;706866;402745;368232;835915;345610;1157424;2513869;3117719;3998461;3380978;3114841;969463;740451;253160;951103;816902;1129203;676073;78280;1560228;4962139;2913621;3938366;1037928;890791;455899;512377;566939;1424183;1307988;1715001;4045628;2851746;2988333;3980795;823476;280285;643757;410322;104783;1122980;1263361;1566959;3659091;3825864;2459492;2245549;791640;138127;472174;827570;1320980;1610402;1710823;1766076;2388562;4442887;2978835;2256653;518403;132104;500078;459624;609136;1039983;1068544;1483664;2219838;3325343;2368510;1368452;343596;335904;348547;825062;723495;837246;1024274;1031682;2406298;3298443;1965462;1864577;292143;110341;271849;878673;1409861;993219;1110522;1300232;1720459;3622667;1343069;1616640;405535;259491;324880;1039680;1273698;1561268;1019024;1255629;2428022;2670502;1755683;1173383;404481;351466;715577;625175;744999;953386;1010718
;Grundarfjörður;932362;1275844;683803;362613;1191485;518570;245051;1048211;357002;..;..;..;631187;660169;678233;374294;695083;770113;178471;446513;724663;530701;796106;655019;452420;1479161;1238251;393262;616508;504747;98388;494762;1310317;797926;1499240;524865;1798502;1707228;2718289;569986;1589485;850012;216694;1003213;1852270;1799166;1117216;1343858;898824;772928;683670;348226;1018709;1361504;520307;1052232;791463;1065114;2299076;2144595;431798;1135834;1556628;580054;1654411;890496;138265;681180;617920;395624;617307;545170;673379;1157925;2082261;817944;713915;746053;328438;403955;440948;392679;611643;427949;1427983;1032524;809954;405296;750376;537477;394104;388622;638982;409134;312476;465504;30524;528344;913443;385476;904181;388579;403956;709856;589558;624389;758782;761005;1058376;944434;586210;410704;508745;621164;276819;776119;608709;657347;917454;476277;808389;983853;923408;261074;764649;337126;334406;482023;695727;603118;1014782;558482;639387;886077;1133612;387963;435039;90804;171150;424275;510505;648804;683113;504553;1040030;1201537;766781;352108;350701;216450;239135;389685;763099;772447;959183;562584;667459;1222367;517839;391561;594158;179865;89436;164259;438796;755298;670869;602733;562913;753157;671798;237702;365214;159361;201811;577482;389247;499995;707676;546690;718894;730871;494947;281321;423245;282001;119576;219105;364231;456381;471262;400546
;Hafnarfjörður;934062;1366211;2161919;1329536;1136830;689518;357924;473748;694144;..;..;..;1845631;2664981;2443967;1570797;1873140;846636;185949;526412;878826;457971;586211;872696;1099811;1171273;1179709;1277498;744864;42371;61417;430410;281616;560998;1515043;1186529;846672;437960;1784742;1870645;1880799;131697;217422;333628;482447;249110;661968;460608;457096;635801;2294115;272144;920051;278881;10565;13964;13285;118919;25673;194956;540569;436318;1716589;916061;1069938;334500;312378;350373;1721;259598;666043;288557;279779;449401;2018465;1224058;1664023;33622;45881;217669;113813;134225;304146;247695;591741;672895;584849;1042741;899928;76444;116213;310627;120776;310620;204270;199413;28748;74212;876505;1317678;973324;87998;181606;218637;205864;82710;272445;455739;347070;371814;752537;70832;626153;1168570;257002;115445;80869;292701;230042;120559;123927;430526;735435;235827;360183;106278;124857;125828;112477;150001;292274;335631;249486;295917;532735;184231;347941;48796;13101;10314;3132;..;25484;171910;302737;550015;382488;1515698;473410;43503;363234;4588;489910;389923;403508;510178;200369;442884;1256500;268290;573629;387175;90400;5532;269778;146130;406464;435521;166380;319227;997163;157733;497990;304026;51604;132793;5555;333306;306920;360844;154067;219704;933454;235819;182835;207476;100635;593382;19423;257025;344754;303919
;Haganesvík;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;537;..;..;..;..;..;..;..;..;..;..;..;..;3184;..;..;..;..;..;..;..
;Hauganes;..;..;..;..;2229;1726;1740;0;..;..;..;..;..;..;..;99;2205;1254;1268;104;..;..;..;..;..;..;..;658;1716;755;663;..;..;..;..;..;..;..;..;201;3098;701;928;..;..;..;..;..;..;..;640;3568;1726;472;1620;1325;..;..;..;..;..;..;197;148;8559;6446;3431;1825;..;..;..;..;..;..;..;7712;7173;2012;5402;1040;146;219;62;..;..;126;1917;1374;4272;..;1306;3153;0;263;416;0;..;614;502;448;2045;247;..;255;80;..;..;..;1390;2996;2603;2075;3834;2823;2474;4178;2426;2441;1099;901;..;697;5244;3847;785;2475;3119;2157;3931;3662;3728;722;208;1446;3838;634;3124;1947;4961;2587;934;4186;3247;..;1445;..;2860;2826;5710;3795;3911;3671;4920;1051;112;..;363;7806;882;626;2271;1330;3164;3096;3475;6634;2651;3016;294;616;9329;4354;2585;1940;2310;3524;1158;3959;3541;275;2042;2209;7893;32343;3701;867;2114;..;492;5729;2744;1232
;Haukabergsvaðall;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2512;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;690;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;810;663;..;..;..;..;..;..;..;..;..;..;85;..;..;2481;236;242;..;..;..;..;..;1245;137;..;165;..;..;..;..;..;..;..;..;..;4456;333;..;..;..;..;..;..;..;..;..;141;..;..;..;..;..;37;..;..
;Hofsós;..;..;363;1430;12129;25900;15108;1899;..;..;..;..;..;..;343;983;11958;14999;6729;4372;2724;..;..;..;..;..;..;8;679;8376;7476;1787;..;..;..;..;2830;..;..;1536;17682;11365;6891;3134;..;2355;1832;650;2347;..;..;90;10276;7402;6863;1460;6322;..;..;2485;..;..;200;779;5966;13443;17123;10436;45775;2214;1439;..;..;..;366;6195;2966;13598;27957;33649;4848;22401;..;..;20732;..;279;1644;1974;8018;32193;19644;699;..;8769;4862;76277;16037;571;4225;3940;8007;25017;26998;21245;14185;19711;6679;28805;6597;1440;6591;8844;19282;16053;46469;93803;100877;68624;76068;21118;9355;10149;4256;14609;35630;28253;70400;81114;76650;69624;49491;51274;17809;9669;7957;34354;44013;33829;37786;4426;2470;11444;6248;27432;21625;4633;19597;20603;33896;22165;26901;44043;18228;86005;50543;18643;6378;9280;5544;12386;48574;26287;31282;17818;26086;56117;71983;6108;11242;8852;1357;25034;43552;40516;60284;33203;13237;15337;11276;6402;7267;3061;4517;14402;38086;47696;54938;47582;20930;36788;19425
;Hólmavík;67662;34174;21264;39940;95048;53109;35450;29210;19358;..;..;..;28434;39438;9968;47233;109416;59254;127259;96637;125722;37689;38881;45326;37277;41943;4100;27601;51156;56764;4398;43811;20766;31414;41343;44365;75998;32123;21261;23327;57356;26659;11214;35304;33730;36273;30711;34224;63391;56698;16956;29708;23726;23784;16126;64886;19770;22416;30614;42405;54689;43144;32291;46624;52560;59991;25927;36122;38119;28788;54233;27564;84634;64484;28497;34209;45842;47487;36417;25515;44560;51918;60169;22428;92152;45299;72844;27899;72225;80152;69906;100336;39513;144978;59189;57969;78063;52131;12739;5968;66865;85294;86353;59013;33281;55733;63646;94422;80484;62719;41677;22067;134835;92689;71106;38644;50892;103220;154369;49730;48850;19232;22453;26771;51145;127987;53548;59375;44472;63002;68497;75210;110045;35148;42407;41721;83203;86052;65901;31714;28202;40788;54907;33001;89753;98266;63437;19438;101688;133815;104523;53326;33781;51485;145211;80317;82330;55247;18494;6425;74424;81548;80572;19131;60484;37883;49367;67130;36452;38117;16704;11210;63822;53295;84798;74475;17911;28101;47901;48743;100973;52168;49454;6351;3218;54176;53259;60593;24066;21193;32921;49845
;Hornafjörður;608884;656176;631223;543424;755664;640580;440826;324559;697099;..;..;..;418374;708363;380543;577127;564061;647389;350179;852520;1248221;883169;776691;410951;546998;348709;340518;428165;486086;365691;671710;405479;401820;902248;486905;346806;549488;559060;677475;438048;358058;181016;365940;356971;462683;481671;430070;599939;1459505;996592;502513;652484;338128;255587;205015;166645;794982;652726;556641;417731;566518;745522;489070;499526;915706;481451;707871;671254;1111173;1471268;1199239;741556;569353;631361;1021548;678177;808666;254986;502917;496705;792153;976902;1008115;696191;482624;506221;1306601;931494;373906;157476;121277;208132;189495;197815;500171;257542;182997;357424;1825795;619075;964886;210017;153371;134233;104493;346605;598739;363064;455292;888326;1435134;837302;864291;154225;139966;77150;125272;368810;766328;395137;317570;772946;2269342;358300;702759;93086;146841;99413;206143;85336;360372;338850;876572;1271569;1649420;381469;701312;114201;89634;64261;207765;277876;444025;72338;819525;927990;1743771;984053;472850;168013;116366;93185;120545;128672;306477;148763;805386;1005328;1193413;381607;802546;186907;125383;130741;151457;475308;422150;332288;349446;497228;1739768;214563;585143;152804;104294;67795;43876;215137;224633;278653;451912;1172383;1644265;355548;505910;82452;49708;97810;54280;110589;169111;244832
;Hrísey;46968;37131;43707;23802;57439;32060;..;14513;17855;..;..;..;45268;68851;77016;62722;39260;37931;7522;43153;45609;63161;26644;24432;25966;31393;29833;57132;36760;37871;33510;27792;45734;70446;38430;34484;36781;26724;47109;29259;22864;41239;22090;4936;56287;58828;61010;51692;7622;23729;5705;15255;50420;50640;51971;132711;63096;46245;23426;27659;5456;27181;..;..;171;..;..;..;..;..;..;..;..;..;..;..;..;31179;..;..;46651;33278;55506;17170;109885;59043;15982;1337;..;..;..;..;25192;..;..;..;73888;39569;33760;28357;100448;79500;7489;8322;50659;152755;106846;87274;49127;37360;47046;55031;71596;87567;..;72126;70118;76380;69360;56687;48564;35790;62052;33246;57575;75741;..;33117;49970;53895;48304;34030;27965;3153;10890;10302;22952;21430;..;20429;38595;61370;69128;35007;29777;19240;29713;25626;34188;29895;26429;23794;25962;36030;29361;19745;12857;23957;27273;25480;37049;53941;18305;6114;11293;25611;21246;15667;6731;18671;28345;28827;38077;31337;24359;15670;20273;18856;19989;2975;50904;41425;32677;41409;60512;34881;4478;8800;22097;25731;38841;15866
;Húsavík;96886;161219;18323;55398;145443;99347;71651;14733;288565;..;..;..;117673;6728;9310;76794;94546;62018;36912;36351;280516;144770;96561;89927;53501;111767;52808;132015;94312;121429;41235;15005;257910;233039;109501;142956;154418;94751;77468;88623;112510;77608;56310;40177;340603;156296;230777;215364;222497;369082;111987;113880;221123;83044;75566;95497;124378;205583;150712;187911;29143;218392;269959;151562;242204;165484;58883;73578;212544;213344;111617;96373;97670;83040;149768;115074;286252;53486;56317;73181;166327;261167;122377;98825;124678;204552;205773;134898;154794;82038;46572;82995;138596;171789;125941;170415;62031;50149;148025;63728;121248;63901;75761;90686;215013;140679;331579;178773;137879;88792;133959;130775;150206;78173;38586;126274;348162;321298;242565;190654;74564;43818;169982;111111;155185;113543;90685;64873;236954;218381;164997;145539;200691;65643;55363;81438;105433;142503;125351;201582;251809;159259;127725;58499;136641;297355;258020;242079;114510;132384;115196;245384;605342;695935;664148;445705;170212;124147;214721;150862;198846;236288;108727;251348;687647;1011412;459211;175419;83434;361295;237210;131026;259597;163997;71445;169086;337959;507405;428799;275034;187258;259228;119691;116763;217944;120546;33779;157291;336171;465691;433053;213126
;Hvammstangi;..;..;..;36;23494;41803;59251;59619;17447;..;..;..;..;..;..;33978;18762;15927;18107;9266;16535;3918;..;..;535;1074;8805;6333;13712;20802;10194;17330;156;6178;4139;2275;17653;4394;..;26208;7463;4650;9822;9638;..;3538;7061;3898;..;1043;..;29689;10060;30775;15546;12027;4913;4268;24216;23559;..;3253;394;9352;17632;31445;28251;21700;..;5324;8328;1344;560;1844;..;22878;18521;30057;15692;10821;..;..;..;..;10409;5340;..;39384;15204;..;..;4582;675;13051;4707;7198;69711;3671;..;8344;..;20046;18490;8521;2877;19159;13529;7518;4613;14470;8328;10727;27208;21861;7160;8643;5640;6190;36247;25336;979;1834;11516;7535;22380;21486;5467;6942;9796;32373;25378;9184;2250;5340;8119;623;16686;26557;12358;2803;563;804;1443;422;3142;1066;907;21585;9011;40390;18425;4300;4448;32891;19515;7686;2470;5160;879;3585;19452;18773;8581;1135;4687;1885;957;756;1914;4726;5762;11848;6056;17567;6048;10321;1815;750;850;5824;3993;6401;14300;16179;5485;10369;3571;4447;387;1158;4607;3975
;Ísafjörður;493315;539182;796899;523660;663211;710099;354043;339013;698878;..;..;..;651045;611300;560801;634810;661170;731292;546032;642787;703413;680277;691003;628894;871887;671996;850152;531583;536438;705595;725544;451031;686926;734472;434298;505591;1653177;381006;561658;446223;850699;1028171;499003;673797;837916;681762;765870;765258;1303412;738944;787282;611197;785797;960230;476458;909865;777512;830176;1374918;892845;735011;741513;612547;291996;754571;1163874;772995;1527993;1105565;816275;1645228;1140981;1543697;1260295;812683;743949;668835;942893;866292;685672;1145383;1029702;834491;882894;1315807;735910;703272;604789;709173;1021598;945002;947687;960814;1700025;945786;1306810;53953;171097;728866;405019;898141;990057;1284587;1271940;1446793;2001714;2792944;1468828;1893062;871498;687398;644012;835565;1407359;487938;661238;912759;1642832;1456751;714068;1958537;895155;864846;394386;567243;1075017;975679;907631;1326916;1211587;2470351;1270961;684639;512050;534083;544158;645358;1263670;887065;952888;681971;1231531;1911897;1542017;924934;666629;465030;523971;893745;1215687;752158;714842;1181557;1507844;1667186;2031388;589057;545517;531932;425976;476483;716891;558167;370625;827758;1072891;960650;737479;452723;321819;505580;252977;657821;502125;322433;494585;390912;346735;700541;528393;337994;292930;423508;479597;676117;491704;328741;737137;445755;594545;544657;483139
;Keflavík;132793;426544;1023689;308918;140999;25229;48119;262535;106401;..;..;..;306116;598406;661789;127535;229913;61996;37157;55091;295244;113233;244085;266835;222054;373558;873876;294062;259358;1714;..;143882;220922;197638;214388;65197;304047;283808;984779;305358;377726;..;45865;126533;135523;152436;161620;54248;20944;192241;1609290;460375;419410;1256;179046;104940;170588;26966;185682;125327;105180;294170;978554;891623;428990;721;26795;293843;264228;99014;82589;3947;76004;482435;1294295;822796;357159;5783;3887;144313;118562;56785;77100;88278;566700;686687;1373802;529500;233897;5419;103822;192801;188661;286966;163774;116260;4360;260574;1264290;785208;673928;1313;33539;84605;276212;389478;146950;52644;210514;1037750;1291819;484867;61300;..;36523;133938;90263;307439;263611;239161;546922;748752;1618164;447986;74984;5100;31500;83706;135356;63811;86575;51312;755501;639897;1080147;455078;162558;8118;32437;5243;75447;352847;576305;157143;591266;793057;741075;478455;82115;230;99245;2037;98792;439049;452204;236638;597701;703561;829551;569155;70227;20886;71339;264626;198938;53458;331235;135650;708580;837574;1011455;550652;59184;7393;2269;56155;226399;142466;473379;219008;732592;552981;773204;524314;86935;38959;14556;124747;134654;137884;250691;158701
;Kópasker;..;..;5500;58824;39110;790;..;..;..;..;..;..;..;..;68751;32749;15683;10253;..;..;..;..;..;..;..;..;5118;10279;25768;11955;1040;565;..;..;..;..;..;928;31603;48661;76293;3747;12307;1802;..;..;..;..;..;424;1365;74489;83478;1377;5638;8072;..;35623;..;3647;..;..;27195;35202;60582;1950;1075;5537;..;52774;9964;53074;..;2184;50994;161534;17227;2896;..;..;23029;27436;7635;..;..;..;110804;99843;15193;636;..;319;..;..;..;..;..;..;103561;62991;33547;10478;1019;..;..;..;..;..;9047;10107;17506;108982;22599;14222;5017;4432;..;..;..;..;682;75494;96798;2512;5424;5291;5397;1356;..;455;..;..;18848;144896;115906;105420;17997;11112;16647;3819;2332;7664;854;..;8694;82328;105382;86230;48470;14809;19107;10438;11088;6822;6047;100;1132;37858;31410;60029;46401;31149;30961;14623;2519;10258;6522;823;..;18220;15767;56034;33063;16945;26022;17025;802;..;..;..;5254;15729;36601;54885;44366;9775;13310;7265;8732;478;..;..
;Kópavogur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1849;1388;9118;7172;10866;312;158;..;..;..;..;..;..;..;17801;25279;12452;14239;4519;66;..;..;..;..;3519;13218;20542;20911;29978;9748;2483;..;..;..;4;..;..;3752;20932;13999;5514;8601;17529;1960;..;..;..;5;..;13288;13642;25031;876;4200;7438;2809;127;659;227;4671;5929;12263;11675;18987;12358;14197;14096;236;408;2372;..;753;1790;9599
;Mjóifjörður;..;..;..;182;548;..;..;1000;..;..;..;..;269;..;3565;417;..;..;..;1164;..;..;..;..;..;..;5892;..;..;..;360;86;350;..;..;..;533;..;2633;844;314;..;..;..;..;3219;2344;..;..;246;4658;..;1619;..;..;..;..;..;856;..;..;..;3455;441;980;879;..;254;..;693;2840;..;..;..;149;619;3236;1323;186;..;..;993;1454;..;..;..;6255;230;2552;1475;210;..;..;..;4827;..;..;..;8306;915;279;1070;600;..;..;3164;..;..;1638;..;5014;1785;214;1257;..;..;..;2868;4445;1103;2213;2640;1829;..;..;3293;8816;..;848;..;2249;3632;3379;3737;9266;3904;265;369;1373;2910;3031;..;4655;1359;3006;2409;7673;..;2404;1352;772;3987;..;202;770;1101;..;1998;9506;1602;3936;6075;8899;3665;..;331;..;..;..;3738;2414;2645;9419;9868;5823;644;..;..;345;..;..;190;334;736;1282;739;1665;2372;..;..;..;..
;Neskaupstaður;164132;886496;276483;278735;213814;511973;579428;949573;1880991;..;..;..;140578;184536;819466;239652;471425;183525;526354;903404;1808097;2818701;1423331;504938;6432;338711;123997;115517;106137;224095;488208;610132;913467;1653756;624780;328407;200290;160840;124825;1054837;512759;587076;580470;1036012;1228203;1533044;2056852;389580;2966;376537;76207;38636;572246;1152889;1099758;1429779;1804880;909803;856280;1470996;649618;120650;224742;330193;564606;1062027;1759473;539735;717328;2239948;1240433;315219;6974;117039;120780;86898;751251;319583;2191739;1459371;1655230;3463287;2007645;414157;297475;78476;119956;4066;117926;572737;2212826;547960;714658;1446485;1128265;297085;..;105976;193457;107496;535356;457794;1521790;1116330;988405;949779;499895;268990;332242;311277;173039;470094;295617;389316;386053;851827;668873;1166429;1069703;280429;698584;436140;171733;174850;261774;306056;211641;478082;666387;842508;635823;427733;330750;227197;333714;231122;310729;387278;306001;548148;1092931;785064;476713;367319;195062;188062;688128;705278;918635;814862;414388;713225;943149;834647;677492;313066;332594;291370;340807;185722;266221;465127;252271;520307;1113469;1121490;479270;357027;300396;277641;355915;383155;515874;339054;269198;655592;684953;1128310;853932;281786;399363;330585;311713;321798;558390;289444;230810;505204;363974;762094;585190;434652
;Norðurfjörður;..;..;..;..;115505;118015;147754;1877;..;..;..;..;..;..;..;..;113115;169742;132603;..;..;..;..;..;..;..;..;..;112242;224343;76631;5918;..;..;..;..;..;..;..;..;98202;180783;197016;16980;..;..;..;..;..;..;..;..;101020;134319;182165;161078;2657;2412;..;..;0;..;..;..;67419;173574;238627;105247;14812;8081;..;..;..;..;..;..;54966;76904;161861;121738;31904;1164;..;..;..;..;..;..;22494;70245;65512;95429;11434;..;..;..;..;..;..;..;61798;84738;127057;105461;7659;924;..;..;..;..;..;..;113570;182323;144248;63405;5456;2098;649;..;..;..;..;137;32789;97185;95352;64209;8147;912;..;..;..;..;..;..;56588;95155;95241;41969;8789;1130;430;..;..;..;..;927;37761;122267;166324;52182;28918;13886;..;..;..;..;256;1272;59795;130746;135790;50416;12639;24888;..;..;..;..;88;54;6016;38765;118485;59085;760;..;271;..;..;..;..;..;..;28269;44112;25357;..;..;..;..
;Ólafsfjörður;..;1196;788;1054;4046;3606;248;0;..;..;..;..;..;..;3821;7823;6552;2309;4375;986;..;504;1279;763;..;..;3784;13082;7806;860;3651;..;..;583;..;..;2061;1244;19830;5902;4918;4438;9754;437;..;76997;70547;782;3180;..;6310;18752;1375;..;2977;782;684;..;8785;3044;720;..;24782;20811;2683;420;960;4219;64016;60187;5801;2271;13867;15617;26162;24907;7255;5118;14067;29763;24311;27680;18219;3924;12535;13285;27328;7617;5333;8527;32554;34966;17430;47625;36424;8967;30433;3962;44935;4367;13053;11492;25321;41786;20231;63874;11384;15365;33203;59369;22894;9019;9576;21423;26270;35547;44045;43325;83615;17046;9029;72336;84548;4384;36888;16205;37120;29680;9598;4332;8569;334;3830;2335;38084;11083;17533;18818;64546;60747;100419;11953;20088;2330;25763;91962;114503;24239;27516;39483;66304;51605;84866;20875;26541;3647;340725;13358;28232;6376;312806;31005;33698;13523;10411;215817;2416;1608;31164;289548;272667;263541;455845;55421;38160;48564;307346;255330;381419;285876;35384;305034;718546;205715;530313;36334;810691;510450;263241;400191;451730;13546
;Ólafsvík;728038;1349289;956703;555379;802309;410631;188031;144404;118156;..;..;..;1028216;1656980;1216201;654257;914486;424128;142313;120025;190248;226838;294985;367523;1018799;1233801;933882;390107;997192;724405;223001;156301;231567;295562;422451;621807;1208368;1376908;681505;646623;1061551;518714;329938;299743;592809;596620;597765;646237;920649;1413562;936843;810383;1189196;345227;230593;191944;448092;293853;535170;557520;784914;2010166;2827959;790573;1974478;480522;259907;133561;223969;181157;498592;352212;1052240;2089294;1825995;1092150;1445997;274317;188956;80028;183282;157191;483133;206329;911043;1571023;1669769;1103119;1604891;440243;345695;149921;344964;350829;518338;797300;674958;1653942;1514882;551986;1641800;303882;154459;129609;319134;210870;344553;429696;1472480;1971271;1641976;867516;1325723;628320;247865;202273;378388;337584;394151;406851;743485;1162851;1834752;381494;1001409;280165;154748;104155;153204;138453;454054;369390;780173;845031;1189682;736265;947589;199799;108728;92627;168489;154520;231286;272701;955378;1070054;793462;716824;569943;154046;176131;107394;273197;168172;351976;216669;797850;1247117;849837;512770;668058;220054;163892;105637;246320;216601;266096;252883;502984;1281635;812011;440714;895082;224549;159700;161013;148255;89437;270442;457031;927519;1077903;1200485;502341;718413;213861;111891;149225;243782;139699;276501;337147
;Patreksfjörður;361654;287648;225537;291641;280416;373785;244423;148996;201601;..;..;..;406680;282628;213038;228181;434617;616303;270350;139500;375381;334221;330368;233909;454320;238552;200837;195542;394698;536163;149489;197566;355306;356618;373053;207010;505130;453705;241309;242425;532333;473071;400539;100545;416075;399398;336999;255642;570749;594302;395387;183720;584027;446349;313165;539943;453165;226519;466869;339062;419652;572473;306733;200134;497253;453523;383614;339453;291696;303593;337449;405458;633676;674631;274400;195837;475910;284492;306751;288722;318089;297719;489678;300349;571655;472129;442258;286641;459976;335804;374244;462090;330719;381821;558375;353701;94261;387170;209921;193730;577548;428029;456888;545559;401406;537522;547093;424128;578491;438166;289032;112176;510169;471852;317744;485971;359598;506504;622461;332105;368813;289721;320851;120698;351286;461854;217050;325186;323415;586596;437725;322402;475859;391916;256225;160694;535465;497628;225604;198061;479195;582780;583722;377025;410957;298697;216146;200147;399697;381637;333593;283665;319886;363338;355141;395495;432418;269676;105274;157619;318045;423114;350925;264553;306160;325574;373362;282415;377327;377866;144085;111654;249007;212306;295299;338380;269399;344462;436332;280374;369914;208572;256572;102808;285897;131427;108393;141754;155813;261953;365900;266813
;Raufarhöfn;148894;224985;286515;102526;160148;202362;245198;18801;177042;..;..;..;1223;189170;94275;100420;144995;139599;158492;59908;99954;225053;146045;74058;44565;122888;149469;175201;135181;72024;96295;61728;128227;332394;442092;148185;28928;53251;164658;80186;112839;165082;190227;169986;231843;384769;409119;113077;72235;147632;265433;81546;123843;89275;141954;223324;264611;165483;308489;114393;225167;95738;184405;90642;194869;114664;140859;254903;358404;262225;318381;136378;214158;248642;257633;90956;81718;122382;113228;315226;472202;204046;710569;152444;346091;226667;216497;78930;105826;163882;131674;242098;457241;637868;458112;132666;10223;127617;236253;14728;9285;36685;99244;91414;172274;419697;274343;276202;243143;281196;435925;137997;20045;36761;73649;163767;628777;556567;313696;84872;173958;141181;281798;38304;43860;37765;137732;229651;820692;533942;307096;162755;250376;23319;162018;78730;37120;28213;63844;93085;657376;660043;467638;82550;86694;214600;153749;85919;26791;28043;33112;125140;480482;701926;308353;279732;15278;230515;182038;59931;14300;52005;45665;30850;11344;148713;221765;98022;20374;96537;176812;118339;6271;46040;63218;55902;21411;16986;47088;1367;80801;36652;133882;79544;70181;83384;43059;70037;68099;19341;33789;24035
